id,season,doy,sample_id,fish_id,length,weight,weight_gonads,fecundity,age,age1,age2,age3,year,maturity,dillution,subsample_n,SS1,SS2,SS3,SS4,SS5,SS6,SS7,comment
62,B,153,470001,22,399,737.8,102.32,754000,,,,,1983,5,4000,3,179,411,596,,,,,
63,B,153,470001,25,425,865.5,122.89,625333,,,,,1983,5,4000,3,166,313,471,,,,,
64,B,153,470002,1,395,785.2,117.77,669333,,,,,1983,5,4000,3,160,338,504,,,,,
65,B,153,470002,7,423,922.5,130.9,976000,9,,,,1983,5,4000,2,242,489,,,,,,
66,B,153,470002,15,410,855.4,136.15,1204000,10,,,,1983,5,4000,2,302,603,,,,,,
67,B,153,470002,18,423,829.5,121.21,780000,10,,,,1983,5,4000,,,,,,,,,
68,B,153,470002,20,412,851.5,142.68,718000,8,,,,1983,5,4000,,,,,,,,,
69,B,168,461003,3,421,965.6,93.7,513333,,,,,1983,5,4000,,,,,,,,,
70,B,168,461003,5,408,797.6,84.1,689333,10,,,,1983,5,4000,,,,,,,,,
71,B,168,461003,14,395,746.6,81.3,602000,,,,,1983,5,4000,,,,,,,,,
72,B,168,461003,15,440,1068.7,119.6,792000,13,,,,1983,5,4000,,,,,,,,,
73,B,168,461003,31,410,875.6,126.6,870000,9,,,,1983,5,,,,,,,,,,
74,B,171,430006,8,367,516.9,45.3,439000,3,,,,1983,5,,,,,,,,,,
75,B,171,430006,13,414,741.6,76.5,724000,10,,,,1983,5,,,,,,,,,,
76,B,171,430006,18,400,738.2,78.8,594667,8,,,,1983,5,4000,,,,,,,,,
77,B,172,430007,5,411,813.5,64.7,678000,9,,,,1983,5,,,,,,,,,,
78,B,172,430007,7,377,590.9,42.5,494000,9,,,,1983,5,,,,,,,,,,
79,B,172,430007,10,413,829.1,116,682667,9,,,,1983,5,,,,,,,,,,
80,B,172,430007,14,420,843.5,62,664500,10,,,,1983,5,,,,,,,,,,
81,B,172,430007,19,404,745.8,63.9,496000,8,,,,1983,5,4000,,,,,,,,,
